model,smote,encoding,accuracy,precision,recall,f1,mcc,far,auc,tn,fp,fn,tp
AE+LR,False,train_only,0.7228,0.9011,0.5763,0.703,0.5071,0.0836,0.8557,8899,812,5437,7396
LDA,False,train_only,0.7618,0.9242,0.6334,0.7517,0.5733,0.0687,0.8601,9044,667,4704,8129
LR,False,train_only,0.734,0.912,0.5897,0.7162,0.5283,0.0752,0.8431,8981,730,5266,7567
NB,False,train_only,0.5121,0.9679,0.1478,0.2565,0.2484,0.0065,0.7944,9648,63,10936,1897
RF,False,train_only,0.7669,0.9666,0.6115,0.7491,0.6021,0.0279,0.9597,9440,271,4985,7848
AE+LR,True,train_only,0.7463,0.9102,0.615,0.734,0.5443,0.0802,0.9078,8932,779,4941,7892
LDA,True,train_only,0.7639,0.9235,0.638,0.7547,0.576,0.0698,0.8645,9033,678,4645,8188
LR,True,train_only,0.7395,0.9129,0.5995,0.7238,0.5363,0.0756,0.8422,8977,734,5139,7694
NB,True,train_only,0.5121,0.9679,0.1478,0.2565,0.2484,0.0065,0.7936,9648,63,10936,1897
RF,True,train_only,0.7766,0.968,0.6284,0.762,0.6164,0.0275,0.9565,9444,267,4769,8064
